Position;Crossing;Finishing;Volleys;Dribbling;BallControl;Agility;Interceptions
1;82;90;87;88;90;90;35
1;88;80;77;84;91;79;56
1;72;87;81;87;88;80;58
1;79;87;84;75;82;75;58
1;83;73;80;84;90;79;24
1;83;82;77;90;89;90;28
1;76;75;78;76;82;74;84
1;73;75;75;80;85;76;86
1;87;78;77;86;90;79;37
1;78;80;76;82;84;76;58
1;77;79;65;84;84;85;42
1;74;78;70;83;83;86;53
1;72;73;76;87;84;80;70
1;77;73;78;87;86;79;69
1;75;74;79;81;82;73;69
1;86;77;75;80;85;68;55
1;80;71;81;84;83;87;40
1;67;70;73;84;84;80;76
1;73;72;67;82;82;89;31
1;74;77;70;81;81;79;74
1;77;64;69;83;83;81;72
1;78;78;80;83;87;70;46
1;78;71;76;86;84;84;55
1;65;76;76;86;83;87;59
1;74;70;61;87;86;86;27
1;78;67;70;85;88;74;70
1;69;72;71;81;83;78;32
1;71;74;75;81;79;86;50
1;81;78;64;84;85;70;29
1;81;65;77;85;86;78;61
1;75;80;73;81;83;75;51
1;72;69;74;87;86;81;32
1;74;76;63;86;83;88;45
1;82;77;73;81;80;78;32
1;78;62;73;84;86;68;49
1;78;79;55;78;85;66;69
1;69;72;70;86;82;82;70
1;74;79;83;83;79;75;29
1;81;69;62;80;79;78;47
1;74;74;71;80;81;78;32
1;71;74;70;77;83;56;69
1;65;80;70;75;78;67;33
1;65;68;61;85;84;66;45
1;79;74;69;84;83;85;66
1;70;70;72;88;80;82;36
1;77;80;77;82;83;87;31
1;80;73;69;78;79;75;39
1;65;64;64;79;81;76;70
1;74;73;77;75;76;86;32
1;78;72;67;78;77;75;50
1;74;70;72;86;81;92;23
1;73;65;65;85;81;79;62
1;75;66;65;83;83;90;35
1;65;66;62;81;83;76;62
1;74;64;64;83;85;72;30
1;81;65;70;78;81;78;42
1;72;77;74;79;77;76;34
1;73;70;70;82;80;91;56
1;75;69;85;78;80;70;46
1;75;79;70;77;75;83;32
1;77;71;70;77;80;82;45
1;74;69;69;77;82;85;45
1;71;70;68;76;77;76;51
1;84;72;65;75;77;66;67
1;63;74;78;80;78;74;43
1;71;62;55;76;78;77;46
1;74;66;67;76;78;81;45
1;65;64;62;78;79;77;36
1;67;75;76;74;78;70;72
1;61;67;67;83;78;91;36
1;74;72;77;78;78;86;34
1;76;79;75;74;78;72;55
1;75;72;71;81;78;78;32
1;74;62;61;79;79;90;25
1;77;66;75;76;78;79;69
1;76;70;65;80;76;87;25
1;75;69;71;73;77;71;43
1;65;64;81;79;77;89;42
1;46;76;67;77;79;62;25
1;79;72;75;82;83;68;47
1;68;55;65;84;82;86;29
1;74;69;64;69;76;79;65
1;76;63;46;73;80;85;52
1;73;63;70;77;80;72;61
1;61;70;68;82;82;74;38
1;73;71;67;78;77;77;54
1;69;76;81;81;78;86;25
1;77;67;68;80;82;76;43
1;72;68;70;77;80;60;55
1;72;66;51;78;76;75;54
1;74;74;77;78;77;77;42
1;81;72;65;73;77;73;72
1;64;78;59;73;75;44;67
1;68;67;60;74;76;79;52
1;72;73;80;80;78;76;59
1;70;73;72;82;75;93;24
1;70;70;65;80;80;80;35
1;69;75;66;81;75;84;57
1;73;64;56;80;81;82;27
1;76;70;74;79;81;77;31
1;73;71;74;73;77;85;38
1;71;69;72;77;78;78;42
1;69;69;69;74;76;74;40
1;78;68;73;79;79;73;53
1;74;64;63;76;78;80;36
1;80;67;69;75;77;71;48
1;74;69;68;79;75;77;22
1;60;80;75;74;75;79;27
1;70;60;50;77;75;87;46
1;69;73;78;83;83;63;39
1;77;70;62;74;76;77;27
1;75;75;63;74;75;78;22
